"division_id","division_name","active","code","created_at","updated_at","deleted_at"
1,"Supreme Court Petition",False,"SPC",NULL,NULL,NULL
2,"Supreme Court Advisory Opinion/Reference",True,"SCAOR",NULL,NULL,NULL
3,"Supreme Court ",True,"SC",NULL,NULL,NULL
4,"Supreme Court Petition Application",False,NULL,NULL,NULL,NULL
5,"Civil Division",True,"CC",NULL,NULL,NULL
7,"Criminal  Division",False,"CRA",NULL,NULL,NULL
9,"High Court Criminal",True,"Criminal",NULL,NULL,NULL
10,"High Court Commercial and Tax",True," Commercial ",NULL,NULL,NULL
11,"High Court Civil",False,"HCC",NULL,NULL,NULL
12,"High Court Family",True,"Family",NULL,NULL,NULL
13,"High Court Judicial Review",False,"HCJR",NULL,NULL,NULL
14,"High Court Constitution and Human Rights",False,"CHR",NULL,NULL,NULL
15,"Magistrate Court Civil Case ",False,NULL,NULL,NULL,NULL
16,"Magistrate Court Civil Case Miscellaneous ",False,NULL,NULL,NULL,NULL
18,"Magistrate Court Criminal",True,"MC - Criminal",NULL,NULL,NULL
19,"Magistrate Court Criminal Case Miscellaneous ",False,NULL,NULL,NULL,NULL
20,"Magistrate Court Traffic Case ",False,NULL,NULL,NULL,NULL
21,"Magistrate Court Election Petitions ",False,NULL,NULL,NULL,NULL
22,"Magistrate Court Succession Matter ",False,NULL,NULL,NULL,NULL
24,"Magistrate Court Children",False,"Children",NULL,NULL,NULL
27,"Kadhi Court",True,"KC",NULL,NULL,NULL
28,"Magistrate Court Anti Corruption",True,"MCAC",NULL,NULL,NULL
29,"High Court Anti Corruption and Economic Crimes",False,"ACEC",NULL,NULL,NULL
30,"Environment and Land Court",True,"ELC",NULL,NULL,NULL
31,"Environment and Land Appeal",False,NULL,NULL,NULL,NULL
32,"Environment and Land Judiciary Review",False,NULL,NULL,NULL,NULL
33,"Environment and Land Miscellaneous",False,NULL,NULL,NULL,NULL
34,"Environment and Land Petitions",False,NULL,NULL,NULL,NULL
35,"Employment and Labour Relations Court",True,"ELRC",NULL,NULL,NULL
36,"Employment and Labour Relations Judicial Review",False,NULL,NULL,NULL,NULL
37,"Employment and Labour Relations CBA",False,NULL,NULL,NULL,NULL
38,"Employment and Labour Relations Petitions",False,NULL,NULL,NULL,NULL
39,"Employment and Labour Relations Miscellaneous",False,NULL,NULL,NULL,NULL
40,"Employment and Labour Relations Appeal",False,NULL,NULL,NULL,NULL
41,"Supreme Court Presidential Election Petition",False,NULL,NULL,NULL,NULL
42,"Magistrate Court Commercial",True,"MCC",NULL,NULL,NULL
43,"Accused Division",False,NULL,NULL,NULL,NULL
44,"Environment & Land Matters (OS)",False,NULL,NULL,NULL,NULL
46,"xxxxxx1111111111111",False,"xxxx11",NULL,NULL,NULL
47,"XXXXXXXXX",False,"x",NULL,NULL,NULL
48,"High Court Criminal - deleted",False,"CRM",NULL,NULL,NULL
49,"Magistrate Court Traffic",False,"MCTR",NULL,NULL,NULL
50,"Magistrate Court Criminal",True,"MCCR",NULL,NULL,NULL
51,"CHR and JR",True,"CHR.JR",NULL,NULL,NULL
52,"Magistrate Court Civil",False,"MCCD",NULL,NULL,NULL
53,"High Court Div",False,"HC.DIV",NULL,NULL,NULL
54,"Magistrate Court",True,"MCD",NULL,NULL,NULL
55,"Magistrate Court Family",True,"MC - Family",NULL,NULL,NULL
56,"Nairobi",True,"NRB",NULL,NULL,NULL
57,"Nairobi",True,"NRB",NULL,NULL,NULL
58,"Court Annexed Mediation",True,"CAM",NULL,NULL,NULL
59,"The National Environment Tribunal",True,"NET",NULL,NULL,NULL
60,"Meru Environment and Land Court",True,"MERUELC",NULL,NULL,NULL
61,"MERU HIGH COURT",True,"MERUHC",NULL,NULL,NULL
62,"Meru Magistrate Court",True,"MERUMC",NULL,NULL,NULL
63,"Sports Disputes Tribunal",True,"SDT",NULL,NULL,NULL
64,"Court of Appeal",True,"COA",NULL,NULL,NULL
65,"Tribunal",True,"TR",NULL,NULL,NULL
66,"Transport Licensing Appeals Board",True,"TLAB",NULL,NULL,NULL
67,"Advocates Disciplinary Tribunal",True,"ADT",NULL,NULL,NULL
68,"Auctioneers Licensing Board",True,"ALB",NULL,NULL,NULL
69,"Nairobi",True,"NBI",NULL,NULL,NULL
70,"Communications and Multimedia Appeals Tribunal ",False,"CAMAT",NULL,NULL,NULL
71,"Legal Education Appeals Tribunal ",False,"LEAT",NULL,NULL,NULL
72,"Micro and Small Enterprise Tribunal ",True,"MASET",NULL,NULL,NULL
73,"Competent Authority Tribunal ",False,"CAT",NULL,NULL,NULL
74,"Kenya Institute of Supplies Management Elections Committee",True,"KISM",NULL,NULL,NULL
75,"Education Appeals Tribunal",True,"EAT",NULL,NULL,NULL
76,"HIV Tribunal",True,"HAT",NULL,NULL,NULL
77,"Kajiado",True,"KJD",NULL,NULL,NULL
78,"Mombasa",True,"MSA",NULL,NULL,NULL
79,"Kakamega",True,"KKM",NULL,NULL,NULL
80,"Nakuru",True,"NAK",NULL,NULL,NULL
81,"Meru",True,"MER",NULL,NULL,NULL
82,"Embu",True,"EMB",NULL,NULL,NULL
83,"Muranga",True,"MUR",NULL,NULL,NULL
84,"Thika",True,"TKA",NULL,NULL,NULL
85,"Machakos",True,"MKS",NULL,NULL,NULL
86,"Kiambu",True,"KMB",NULL,NULL,NULL
87,"Nyahururu",True,"NYU",NULL,NULL,NULL
88,"Kericho",True,"KER",NULL,NULL,NULL
89,"Eldoret",True,"ELD",NULL,NULL,NULL
90,"Kitale",True,"KIT",NULL,NULL,NULL
91,"Bungoma",True,"BGM",NULL,NULL,NULL
92,"Kisii",True,"KIS",NULL,NULL,NULL
93,"Kisumu",True,"KSM",NULL,NULL,NULL
94,"Nyeri",True,"NYR",NULL,NULL,NULL
95,"Naivasha",True,"NAV",NULL,NULL,NULL
96,"ENERGY AND PETROLEUM TRIBUNAL",False,"EPTBN",NULL,NULL,NULL
97,"Commercial Suit Division",True,"MCCOMMSU",NULL,NULL,NULL
98,"Small Claims Court",False,"SCC",NULL,NULL,NULL
99,"Garissa",True,"GAR",NULL,NULL,NULL
100,"Lamu",True,"LAM",NULL,NULL,NULL
101,"Judiciary Training Institute",False,"JTI",NULL,NULL,NULL
102,"Administration",False,"ADMIN",NULL,NULL,NULL
103,"Judiciary Committee on Elections",True,"JCE",NULL,NULL,NULL
