id,name,description,order,unit_id,unit_rank_id,financial_year_id,rank_category_id,deleted_at,created_at,updated_at
1,A.1 EXPEDITIOUS DISPOSAL OF CASES,EXPEDITIOUS DISPOSAL OF CASES,1,NULL,3,4,1,NULL,5/21/2022 14:20,5/22/2022 2:02
2,A.2 COURT FILES INTEGRITY,COURT FILES INTEGRITY,2,NULL,3,4,1,NULL,5/22/2022 3:48,5/22/2022 3:48
3,B. TRIAL AND DELIVERY DATE CERTAINTY,TRIAL AND DELIVERY DATE CERTAINTY,3,NULL,3,4,1,NULL,5/22/2022 3:50,5/22/2022 3:50
4,C. CASE CLEARANCE RATE,CASE CLEARANCE RATE,4,NULL,3,4,1,NULL,5/22/2022 4:08,5/22/2022 4:08
5,D. CASE BACKLOG,CASE BACKLOG,5,NULL,3,4,1,NULL,5/22/2022 4:10,5/22/2022 4:10
6,E. COURT PRODUCTIVITY,COURT PRODUCTIVITY,6,NULL,3,4,1,NULL,5/22/2022 5:19,5/22/2022 5:19
7,F. MONTHLY COURTS RETURNS,MONTHLY COURTS RETURNS,7,NULL,3,4,1,NULL,5/22/2022 5:22,5/22/2022 5:22
8,G. SUPERVISION OF SUBORDINATE COURTS,SUPERVISION OF SUBORDINATE COURTS,8,NULL,3,4,1,NULL,5/22/2022 5:24,5/22/2022 5:24
9,A.1. EXPEDITIOUS DELIVERY OF JUSTICE,EXPEDITIOUS DELIVERY OF JUSTICE,1,NULL,6,4,2,NULL,5/22/2022 5:29,5/22/2022 5:29
10,A.2. TRIAL AND DELIVERY DATE CERTAINTY,TRIAL AND DELIVERY DATE CERTAINTY,2,NULL,6,4,2,NULL,5/22/2022 7:24,5/22/2022 7:24
11,A.3. COURT FILES INTEGRITY,COURT FILES INTEGRITY,3,NULL,6,4,2,NULL,5/22/2022 7:36,5/22/2022 7:36
12,B.  COURT INFRASTRUCTURE,COURT INFRASTRUCTURE,4,NULL,6,4,2,NULL,5/22/2022 7:39,5/22/2022 7:39
13,C. FINANCIAL PERSPECTIVE,FINANCIAL PERSPECTIVE,5,NULL,6,4,2,NULL,5/22/2022 7:44,5/22/2022 7:44
14,D. CUSTOMER PERSPECTIVE,CUSTOMER PERSPECTIVE,6,NULL,6,4,2,NULL,5/22/2022 7:59,5/22/2022 7:59
15,E. INNOVATION AND LEARNING,INNOVATION AND LEARNING,7,NULL,6,4,2,NULL,5/22/2022 8:01,5/22/2022 8:01
16,F. INTERNAL PROCESSES,INTERNAL PROCESSES,8,NULL,6,4,2,NULL,5/22/2022 8:04,5/22/2022 8:04
17,A . EXPEDITIOUS DISPOSAL OF CASES,EXPEDITIOUS DISPOSAL OF CASES,1,NULL,1,4,3,NULL,5/23/2022 1:58,5/23/2022 1:58
18,B. TRIAL AND DELIVERY DATE CERTAINTY,TRIAL AND DELIVERY DATE CERTAINTY,2,NULL,1,4,3,NULL,5/23/2022 2:08,5/23/2022 2:08
19,C. CASE CLEARANCE RATE,CASE CLEARANCE RATE,3,NULL,1,4,3,NULL,5/23/2022 2:12,5/23/2022 2:12
20,E. COURT PRODUCTIVITY,COURT PRODUCTIVITY,5,NULL,1,4,3,NULL,5/23/2022 2:15,5/23/2022 2:19
21,F. MONTHLY COURTS RETURNS,MONTHLY COURTS RETURNS,6,NULL,1,4,3,NULL,5/23/2022 2:17,5/23/2022 2:19
22,D. CASE BACKLOG,CASE BACKLOG,4,NULL,1,4,3,NULL,5/23/2022 2:18,5/23/2022 2:18
23,A . EXPEDITIOUS DISPOSAL OF CASES,EXPEDITIOUS DISPOSAL OF CASES,1,NULL,2,4,4,NULL,5/23/2022 2:36,5/23/2022 3:04
24,B. TRIAL AND DELIVERY DATE CERTAINTY,TRIAL AND DELIVERY DATE CERTAINTY,2,NULL,2,4,4,NULL,5/23/2022 2:47,5/23/2022 2:47
25,C. CASE CLEARANCE RATE,CASE CLEARANCE RATE,3,NULL,2,4,4,NULL,5/23/2022 2:58,5/23/2022 2:58
26,D. CASE BACKLOG,CASE BACKLOG,4,NULL,2,4,4,NULL,5/23/2022 3:02,5/23/2022 3:02
27,E. COURT PRODUCTIVITY,COURT PRODUCTIVITY,5,NULL,2,4,4,NULL,5/23/2022 3:03,5/23/2022 3:03
28,F. MONTHLY COURTS RETURNS,MONTHLY COURTS RETURNS,6,NULL,2,4,4,NULL,5/23/2022 3:07,5/23/2022 3:07
29,A.1 EXPEDITIOUS DISPOSAL OF CASES,A.1 EXPEDITIOUS DISPOSAL OF CASES,1,NULL,4,4,5,NULL,5/23/2022 3:13,5/23/2022 3:13
30,A.2 COURT FILES INTEGRITY,COURT FILES INTEGRITY,2,NULL,4,4,5,NULL,5/23/2022 7:03,5/23/2022 7:57
31,B. TRIAL AND DELIVERY DATE CERTAINTY,TRIAL AND DELIVERY DATE CERTAINTY,3,NULL,4,4,5,NULL,5/23/2022 7:10,5/23/2022 7:10
