"unit_id","unit_name","unique_id","unique_code","head_id_fk","bank_code_revenue","bank_code_deposit","bank_account_revenue","bank_account_deposit","has_division","subhead_id_fk","deleted","has_cts","mayan_unit_ref_id","created_at","updated_at","deleted_at"
1,"Mombasa High Court","MSAHGC","MSAHGC",3,7289,2289,1116927721,1173304991,1,32,False,NULL,30665,NULL,NULL,NULL
2,"Mombasa ELRC","MSAERC","MSAERC",4,7289,2289,1116927721,1173304991,0,32,False,NULL,43797,NULL,NULL,NULL
3,"Mombasa Environment and Land Court","MSAELC","MSAELC",5,7289,2289,1116927721,1173304991,0,32,False,NULL,33204,NULL,NULL,NULL
4,"Kaloleni Magistrate Court","KLNMGC","KLNMGC",6,7226,2226,1197974695,1197975128,0,59,False,NULL,34255,NULL,NULL,NULL
5,"Mariakani Magistrate Court","MRKMGC","MRKMGC",6,7232,2232,1112672214,1174060182,1,84,False,NULL,99152,NULL,NULL,NULL
6,"Mombasa Magistrate Court","MSAMGC","MSAMGC",6,7289,2289,1116927721,1173304991,1,32,False,NULL,33074,NULL,NULL,NULL
7,"Shanzu Magistrate Court","SNZMGC","SNZMGC",6,7292,2292,1183564023,1183564473,0,107,False,NULL,44275,NULL,NULL,NULL
8,"Tononoka Magistrate Court","TNKMGC","TNKMGC",6,7294,2294,1259882985,1259882691,0,115,False,NULL,45267,NULL,NULL,NULL
9,"Mombasa Kadhi Court","MSAKDC","MSAKDC",7,7289,2289,1116927721,1173304991,0,32,False,NULL,46705,NULL,NULL,NULL
10,"Mariakani Kadhi Court","MRKKDC","MRKKDC",7,7232,2232,1112672214,1174060182,0,84,False,NULL,0,NULL,NULL,NULL
11,"Kwale Magistrate Court","KWLMGC","KWLMGC",6,7287,2287,1184521697,1197970576,0,75,False,NULL,26592,NULL,NULL,NULL
12,"Kwale Kadhi Court","KWLKDC","KWLKDC",7,7287,2287,1184521697,1197970576,0,75,False,NULL,0,NULL,NULL,NULL
13,"Msambweni Kadhi Court","MWNKDC","MWNKDC",7,7338,2338,1259882489,1259882160,0,133,False,NULL,0,NULL,NULL,NULL
14,"Malindi Court of Appeal","MLDCOA","MLDCOA",2,7229,2229,1108005853,1174015705,0,5,False,NULL,37656,NULL,NULL,NULL
15,"Malindi High Court","MLDHGC","MLDHGC",3,7229,2229,1108005853,1174015705,1,5,False,NULL,0,NULL,NULL,NULL
16,"Malindi Environment and Land Court","MLDELC","MLDELC",5,7229,2229,1108005853,1174015705,0,5,False,NULL,0,NULL,NULL,NULL
17,"Kilifi Magistrate Court","KLFMGC","KLFMGC",6,7227,2227,1102292575,1173296867,1,71,False,NULL,0,NULL,NULL,NULL
