"unit_division_id","unit_id_fk","division_id_fk","mayan_unit_division_ref_id","efiling_ready_unit","created_at","updated_at","deleted_at"
1,244,10,19241,True,NULL,NULL,NULL
2,244,11,1758,False,NULL,NULL,NULL
43,244,9,1728,False,NULL,NULL,NULL
45,244,12,1734,False,NULL,NULL,NULL
46,244,13,1754,False,NULL,NULL,NULL
47,244,14,1743,False,NULL,NULL,NULL
49,246,30,24004,False,NULL,NULL,NULL
50,249,18,24268,False,NULL,NULL,NULL
51,247,42,0,True,NULL,NULL,NULL
52,242,3,4,False,NULL,NULL,NULL
53,244,29,31747,False,NULL,NULL,NULL
55,249,24,23830,False,NULL,NULL,NULL
56,249,20,24393,False,NULL,NULL,NULL
57,249,28,24247,False,NULL,NULL,NULL
58,245,35,23566,False,NULL,NULL,NULL
59,243,7,24009,False,NULL,NULL,NULL
60,243,5,23339,False,NULL,NULL,NULL
63,1,12,40824,False,NULL,NULL,NULL
64,1,11,30666,False,NULL,NULL,NULL
65,1,10,0,False,NULL,NULL,NULL
66,1,9,43299,False,NULL,NULL,NULL
69,1,51,33018,False,NULL,NULL,NULL
70,3,30,33205,False,NULL,NULL,NULL
71,6,52,33075,False,NULL,NULL,NULL
72,6,50,42033,False,NULL,NULL,NULL
73,6,49,33186,False,NULL,NULL,NULL
80,164,53,0,False,NULL,NULL,NULL
81,170,50,0,False,NULL,NULL,NULL
82,170,52,33501,False,NULL,NULL,NULL
83,170,49,0,False,NULL,NULL,NULL
84,7,54,44276,False,NULL,NULL,NULL
85,8,54,45268,False,NULL,NULL,NULL
86,9,27,46706,False,NULL,NULL,NULL
87,6,55,41594,False,NULL,NULL,NULL
88,129,54,0,False,NULL,NULL,NULL
89,2,35,43798,False,NULL,NULL,NULL
90,261,56,33844,False,NULL,NULL,NULL
91,267,57,58997,False,NULL,NULL,NULL
96,128,53,0,False,NULL,NULL,NULL
100,259,59,116628,False,NULL,NULL,NULL
102,68,60,0,False,NULL,NULL,NULL
103,67,61,36873,False,NULL,NULL,NULL
104,70,62,36612,False,NULL,NULL,NULL
105,244,58,1726,False,NULL,NULL,NULL
112,251,50,42060,False,NULL,NULL,NULL
113,251,49,49535,False,NULL,NULL,NULL
114,260,63,54355,False,NULL,NULL,NULL
115,251,24,0,False,NULL,NULL,NULL
116,171,50,0,False,NULL,NULL,NULL
117,171,52,0,False,NULL,NULL,NULL
118,171,24,0,False,NULL,NULL,NULL
119,171,49,0,False,NULL,NULL,NULL
133,100,30,0,False,NULL,NULL,NULL
145,133,54,35177,False,NULL,NULL,NULL
147,284,54,39665,False,NULL,NULL,NULL
148,69,54,35678,False,NULL,NULL,NULL
168,285,35,0,False,NULL,NULL,NULL
169,153,50,36654,False,NULL,NULL,NULL
170,153,52,36753,False,NULL,NULL,NULL
171,153,24,0,False,NULL,NULL,NULL
172,153,55,0,False,NULL,NULL,NULL
173,255,27,29805,False,NULL,NULL,NULL
174,286,35,0,False,NULL,NULL,NULL
175,152,30,0,False,NULL,NULL,NULL
176,151,9,0,False,NULL,NULL,NULL
177,151,12,113270,False,NULL,NULL,NULL
178,151,11,106755,False,NULL,NULL,NULL
179,154,27,0,False,NULL,NULL,NULL
180,162,52,0,False,NULL,NULL,NULL
181,162,50,57967,False,NULL,NULL,NULL
182,161,53,0,False,NULL,NULL,NULL
183,145,54,40716,False,NULL,NULL,NULL
184,151,58,0,False,NULL,NULL,NULL
187,157,52,0,False,NULL,NULL,NULL
188,157,50,0,False,NULL,NULL,NULL
189,64,27,0,False,NULL,NULL,NULL
190,63,54,0,False,NULL,NULL,NULL
191,208,53,36882,False,NULL,NULL,NULL
193,214,35,41849,False,NULL,NULL,NULL
194,210,52,35309,False,NULL,NULL,NULL
195,210,50,90205,False,NULL,NULL,NULL
196,215,30,54193,False,NULL,NULL,NULL
197,206,30,0,False,NULL,NULL,NULL
198,287,30,0,False,NULL,NULL,NULL
199,167,30,0,False,NULL,NULL,NULL
200,109,30,35452,False,NULL,NULL,NULL
201,16,30,0,False,NULL,NULL,NULL
202,235,30,0,False,NULL,NULL,NULL
203,93,30,36518,False,NULL,NULL,NULL
204,205,9,0,False,NULL,NULL,NULL
205,205,11,0,False,NULL,NULL,NULL
206,207,50,0,False,NULL,NULL,NULL
207,207,52,0,False,NULL,NULL,NULL
208,207,24,0,False,NULL,NULL,NULL
209,216,50,54145,False,NULL,NULL,NULL
210,216,52,47619,False,NULL,NULL,NULL
211,216,49,80335,False,NULL,NULL,NULL
212,108,35,0,False,NULL,NULL,NULL
213,112,52,0,False,NULL,NULL,NULL
214,112,50,35537,False,NULL,NULL,NULL
215,112,24,0,False,NULL,NULL,NULL
216,112,55,0,False,NULL,NULL,NULL
217,107,9,0,False,NULL,NULL,NULL
218,107,11,0,False,NULL,NULL,NULL
219,107,12,0,False,NULL,NULL,NULL
220,166,35,0,False,NULL,NULL,NULL
221,213,9,102346,False,NULL,NULL,NULL
222,213,11,54179,False,NULL,NULL,NULL
223,213,12,54215,False,NULL,NULL,NULL
224,175,53,0,False,NULL,NULL,NULL
228,288,30,0,False,NULL,NULL,NULL
229,197,53,106810,False,NULL,NULL,NULL
230,204,27,0,False,NULL,NULL,NULL
231,200,18,0,False,NULL,NULL,NULL
232,200,52,0,False,NULL,NULL,NULL
233,198,30,0,False,NULL,NULL,NULL
234,55,53,0,False,NULL,NULL,NULL
235,58,54,37457,False,NULL,NULL,NULL
236,59,27,0,False,NULL,NULL,NULL
237,31,53,0,False,NULL,NULL,NULL
238,181,35,0,False,NULL,NULL,NULL
239,182,30,0,False,NULL,NULL,NULL
240,180,53,36082,False,NULL,NULL,NULL
241,183,52,0,False,NULL,NULL,NULL
242,183,50,35618,False,NULL,NULL,NULL
243,183,49,0,False,NULL,NULL,NULL
244,289,30,0,False,NULL,NULL,NULL
245,122,53,0,False,NULL,NULL,NULL
248,35,27,35771,False,NULL,NULL,NULL
249,33,54,0,False,NULL,NULL,NULL
250,222,53,0,False,NULL,NULL,NULL
